SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,County_Source,COUNTY_SOURCE
PAST SALE,,Single Family Residential,403 N Wright St,Eustis,NE,69028,230000,3,3.0,,2349,11326,1979,,98,,,,,https://www.redfin.com/NE/Eustis/403-N-Wright-St-69028/home/133818993,,,N,Y,40.666136,-100.0362065,"Oconee County, SC","Oconee, SC"
PAST SALE,September-6-2022,Single Family Residential,500 N Wright St,Eustis,NE,69028,215000,4,3.0,Eustis,2424,9583,1970,,89,,Sold,,,https://www.redfin.com/NE/Eustis/500-N-Wright-St-69028/home/133821504,GMNMLS,20220769,N,Y,40.6668985,-100.0356699,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,104 W 6th St,Curtis,NE,69025,180000,2,3.0,,3136,6970,1991,,57,,,,,https://www.redfin.com/NE/Curtis/104-W-6th-St-69025/home/133821837,,,N,Y,40.6341471,-100.5157758,"Oconee County, SC","Oconee, SC"
PAST SALE,March-19-2021,Single Family Residential,105 Franklin St,Stockville,NE,69042,128000,5,3.0,Stockville,2347,,1890,,55,,Sold,,,https://www.redfin.com/NE/Stockville/105-Franklin-St-69042/home/133821694,GMNMLS,20201403,N,Y,40.5346144,-100.3854885,"Oconee County, SC","Oconee, SC"
PAST SALE,March-21-2025,Single Family Residential,508 Park Ave,Curtis,NE,69025,215000,5,3.0,CURTIS,3000,12000,1979,,72,,Sold,,,https://www.redfin.com/NE/Curtis/508-Park-Ave-69025/home/133824691,LCBR,26157,N,Y,40.6336216,-100.5192408,"Oconee County, SC","Oconee, SC"
PAST SALE,June-3-2021,Single Family Residential,105 S Pear St,Maywood,NE,69038,59000,2,1.0,MAYWOOD,1105,,1890,,53,,Sold,,,https://www.redfin.com/NE/Maywood/105-S-Pear-St-69038/home/133823072,LCBR,23272,N,Y,40.6572154,-100.6210241,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,609 Pope Ave,Curtis,NE,69025,130000,4,2.0,,2620,6970,1950,,50,,,,,https://www.redfin.com/NE/Curtis/609-Pope-Ave-69025/home/133824636,,,N,Y,40.6347239,-100.5171259,"Oconee County, SC","Oconee, SC"
PAST SALE,December-20-2021,Single Family Residential,705 Custer Ave,Curtis,NE,69025,116000,4,2.0,Curtis,2470,,1950,,47,,Sold,,,https://www.redfin.com/NE/Curtis/705-Custer-Ave-69025/home/133818535,GMNMLS,20211493,N,Y,40.635363,-100.5129108,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,39087 Prairie Rd,Curtis,NE,69025,240000,3,3.0,,2539,22216,1981,,95,,,,,https://www.redfin.com/NE/Curtis/39087-Prairie-Rd-69025/home/133821933,,,N,Y,40.6287244,-100.5351316,"Oconee County, SC","Oconee, SC"
PAST SALE,December-22-2021,Single Family Residential,503 Pope Ave,Curtis,NE,69025,63000,4,2.0,Curtis,2000,,1920,,32,,Sold,,,https://www.redfin.com/NE/Curtis/503-Pope-Ave-69025/home/133825000,GMNMLS,20211225,N,Y,40.6333576,-100.5170964,"Oconee County, SC","Oconee, SC"
