SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,County_Source,COUNTY_SOURCE
PAST SALE,April-28-2022,Single Family Residential,1517 5th Ave NW,Great Falls,MT,59404,124800,2,1.0,Great Falls,728,6098,1955,,171,,Sold,,,https://www.redfin.com/MT/Great-Falls/1517-5th-Ave-NW-59404/home/132185770,MRMLS,22203848,N,Y,47.5128497,-111.3387809,"Greenville County, SC","Greenville, SC"
PAST SALE,December-30-2021,Condo/Co-op,626 8th Ave S,Great Falls,MT,59405,430000,5,3.0,Great Falls,4792,7405,1977,,90,,Sold,,,https://www.redfin.com/MT/Great-Falls/626-8th-Ave-S-59405/home/147437986,MRMLS,22115618,N,Y,47.49624,-111.2959239,"Greenville County, SC","Greenville, SC"
PAST SALE,May-19-2021,Vacant Land,NHN Off Ulm Flats Rd,Ulm,MT,59485,110000,,,Ulm,,3600234,,,,,Sold,,,https://www.redfin.com/MT/Ulm/Nhn-Off-Ulm-Flats-RD-59485/home/183264948,BSCMLS,352822,N,Y,47.463878,-111.588924,"Greenville County, SC","Greenville, SC"
PAST SALE,June-24-2022,Single Family Residential,600 52nd St S,Great Falls,MT,59405,299900,3,1.5,Great Falls,1536,7405,1961,,195,,Sold,,,https://www.redfin.com/MT/Great-Falls/600-52nd-St-S-59405/home/132032349,MRMLS,22206593,N,Y,47.4981759,-111.2212455,"Greenville County, SC","Greenville, SC"
PAST SALE,October-12-2021,Single Family Residential,3114 4th Ave S,Great Falls,MT,59405,241500,3,2.0,Great Falls,2134,7405,1952,,113,,Sold,,,https://www.redfin.com/MT/Great-Falls/3114-4th-Ave-S-59405/home/131936318,MRMLS,22109597,N,Y,47.5004039,-111.2529465,"Greenville County, SC","Greenville, SC"
PAST SALE,September-6-2022,Single Family Residential,340 Beth Dr,Great Falls,MT,59405,285000,4,2.0,Great Falls,2016,7405,1967,,141,,Sold,,,https://www.redfin.com/MT/Great-Falls/340-Beth-Dr-59405/home/131988666,MRMLS,22211187,N,Y,47.5002419,-111.2320432,"Greenville County, SC","Greenville, SC"
PAST SALE,February-16-2022,Single Family Residential,3244 8th Ave N,Great Falls,MT,59401,280000,4,2.0,Great Falls,1872,7405,1954,,150,,Sold,,,https://www.redfin.com/MT/Great-Falls/3244-8th-Ave-N-59401/home/131963343,MRMLS,22118232,N,Y,47.5136461,-111.2494125,"Greenville County, SC","Greenville, SC"
PAST SALE,December-16-2021,Vacant Land,2208 Larkspur Ln,Great Falls,MT,59404,59900,,,Larkspur,,43560,,,,55,Sold,,,https://www.redfin.com/MT/Great-Falls/2208-Larkspur-Ln-59404/home/132140899,MRMLS,21911850,N,Y,47.4569711,-111.347979,"Greenville County, SC","Greenville, SC"
PAST SALE,August-6-2021,Single Family Residential,1110 8th Ave S,Great Falls,MT,59405,190000,3,1.0,Great Falls,1812,7405,1900,,105,,Sold,,,https://www.redfin.com/MT/Great-Falls/1110-8th-Ave-S-59405/home/131937261,MRMLS,22109069,N,Y,47.4962224,-111.28802,"Greenville County, SC","Greenville, SC"
PAST SALE,March-20-2024,Vacant Land,NHN Moonstone Ct Lot 7,Great Falls,MT,59404,69000,,,Great Falls,,87555,,,,,Sold,,,https://www.redfin.com/MT/Great-Falls/NHN-Moonstone-CT-Unknown/unit-7/home/199697961,MRMLS,30020460,N,Y,47.53611839,-111.41835889,"Greenville County, SC","Greenville, SC"
PAST SALE,September-23-2021,Vacant Land,31 Cox Creek Ln,Cascade,MT,59421,150000,,,Cascade,,155509,,,,,Sold,,,https://www.redfin.com/MT/Cascade/31-Cox-Creek-Ln-59421/home/132124701,MRMLS,22114744,N,Y,47.135172,-111.857028,"Greenville County, SC","Greenville, SC"
PAST SALE,February-8-2022,Single Family Residential,724 3rd Ave N,Great Falls,MT,59401,424900,5,2.0,Great Falls,3529,7405,1905,,120,,Sold,,,https://www.redfin.com/MT/Great-Falls/724-3rd-Ave-N-59401/home/132024356,MRMLS,22115768,N,Y,47.5083298,-111.2941143,"Greenville County, SC","Greenville, SC"
PAST SALE,August-4-2021,Single Family Residential,247 Washington Blvd,Great Falls,MT,59404,175000,2,1.5,Great Falls,1872,10890,1978,,93,,Sold,,,https://www.redfin.com/MT/Great-Falls/247-Washington-Blvd-59404/home/131980163,MRMLS,22109441,N,Y,47.5492185,-111.5089599,"Greenville County, SC","Greenville, SC"
PAST SALE,July-25-2022,Single Family Residential,3233 4th Ave S,Great Falls,MT,59405,229000,3,2.0,Great Falls,1768,9147,1951,,130,,Sold,,,https://www.redfin.com/MT/Great-Falls/3233-4th-Ave-S-59405/home/131976685,MRMLS,22208208,N,Y,47.5008905,-111.2501093,"Greenville County, SC","Greenville, SC"
PAST SALE,December-23-2021,Vacant Land,2737 Greenbriar Dr,Great Falls,MT,59404,63500,,,Great Falls,,8276,,,,,Sold,,,https://www.redfin.com/MT/Great-Falls/2737-Greenbriar-Dr-59404/home/164816107,MRMLS,22102777,N,Y,47.477371,-111.3459013,"Greenville County, SC","Greenville, SC"
PAST SALE,December-16-2021,Mobile/Manufactured Home,2226 Central Ave W,Great Falls,MT,59404,50000,3,1.5,Great Falls,952,,1974,,53,,Sold,,,https://www.redfin.com/MT/Great-Falls/2226-Central-Ave-W-59404/home/147439033,MRMLS,22117327,N,Y,47.5068149,-111.3522143,"Greenville County, SC","Greenville, SC"
PAST SALE,June-4-2021,Single Family Residential,36 38th Ave NE,Great Falls,MT,59404,342000,4,2.0,Great Falls,1788,,2018,,191,,Sold,,,https://www.redfin.com/MT/Great-Falls/36-38th-Ave-NE-59404/home/165333840,MRMLS,22107091,N,Y,47.5400827,-111.3154487,"Greenville County, SC","Greenville, SC"
PAST SALE,February-11-2021,Single Family Residential,24 Tri View Loop,Great Falls,MT,59404,459900,4,3.0,Great Falls,3962,218235,2006,,116,21,Sold,,,https://www.redfin.com/MT/Great-Falls/24-Tri-View-Loop-59404/home/132160822,MRMLS,22100003,N,Y,47.479307,-111.428414,"Greenville County, SC","Greenville, SC"
